post_date,engagement,close_value,volume,open_value,high_value,low_value,prev_close,return,price_class,len_modify_body,comp_clean,pos_clean,neg_clean,neu_clean
2019-07-19,10,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,23,-0.7351,0.0,0.674,0.326
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,21,0.7579,0.765,0.0,0.235
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,32,0.6124,0.5,0.0,0.5
2019-07-19,3,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,58,0.886,0.634,0.0,0.366
2019-07-19,15,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,95,-0.25,0.19,0.238,0.571
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,72,0.7003,0.402,0.11,0.488
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,55,0.7096,0.496,0.0,0.504
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,44,-0.9325,0.0,0.765,0.235
2019-07-19,3,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,75,-0.25,0.31,0.345,0.345
2019-07-19,10,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,77,0.8779,0.431,0.0,0.569
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,92,0.7184,0.364,0.136,0.5
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,136,-0.9666,0.226,0.577,0.197
2019-07-19,27,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,54,0.0,0.294,0.294,0.412
2019-07-19,23,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,54,0.0,0.294,0.294,0.412
2019-07-19,39,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,53,-0.0772,0.341,0.299,0.359
2019-07-19,3,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,53,-0.4588,0.0,0.273,0.727
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,73,0.4019,0.391,0.254,0.355
2019-07-19,4,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,108,0.0,0.0,0.0,1.0
2019-07-19,3,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,54,0.6124,0.267,0.0,0.733
2019-07-19,3,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,147,-0.1027,0.356,0.365,0.279
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,40,-0.875,0.0,0.75,0.25
2019-07-19,4,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,40,0.25,0.385,0.308,0.308
2019-07-19,4,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,40,0.25,0.385,0.308,0.308
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,94,0.875,0.5,0.179,0.321
2019-07-20,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,16,0.0,0.0,0.0,1.0
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,65,0.875,0.529,0.0,0.471
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,40,0.2023,0.231,0.0,0.769
2019-07-20,4,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,60,0.6124,0.308,0.0,0.692
2019-07-20,13,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,48,-0.875,0.0,0.643,0.357
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,32,0.0,0.0,0.0,1.0
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,24,0.6124,0.571,0.0,0.429
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,41,-0.875,0.0,0.643,0.357
2019-07-20,6,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,22,0.3818,0.565,0.0,0.435
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,23,0.6124,0.571,0.0,0.429
2019-07-20,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,18,0.0,0.0,0.0,1.0
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,18,0.0,0.0,0.0,1.0
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,18,0.0,0.0,0.0,1.0
2019-07-20,6,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,30,0.0,0.0,0.0,1.0
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,68,0.6124,0.364,0.0,0.636
2019-07-20,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,59,0.25,0.312,0.25,0.438
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,75,0.6124,0.429,0.19,0.381
2019-07-20,33,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,128,0.743,0.373,0.165,0.462
2019-07-20,212,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,61,0.9325,0.684,0.0,0.316
2019-07-20,5,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,20,0.0,0.455,0.455,0.091
2019-07-20,21,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,128,0.743,0.373,0.165,0.462
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,96,0.7184,0.333,0.0,0.667
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,154,0.6298,0.428,0.368,0.204
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,39,-0.4019,0.14,0.323,0.538
